search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20020601&after=publication:20020101&status=GRANT&type=PATENT&sort=old
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US6384191B1,Receptors for fibroblast growth factors ,Regents Of The University Of California,"Lewis T. Williams, Daniel E. Johnson, Pauline E Lee",1989-07-06,1990-07-06,2002-05-07,2002-05-07,https://patents.google.com/patent/US6384191B1/en
US6391590B1,Recombinant streptavidin-metallothionein chimeric protein having biological recognition specificity ,The Regents Of The University Of California,"Takeshi Sano, Alexander N. Glazer, Charles R. Cantor",1991-10-21,1991-10-21,2002-05-21,2002-05-21,https://patents.google.com/patent/US6391590B1/en
US6362160B1,Immunophilin-binding agents prevent glutamate neurotoxicity associated with vascular stroke and neurodegenerative diseases ,The Johns Hopkins University School Of Medicine,"Ted M. Dawson, Joseph P. Steiner, Valina L. Dawson, George R. Uhl, Solomon H. Snyder",1993-06-30,1993-06-30,2002-03-26,2002-03-26,https://patents.google.com/patent/US6362160B1/en
US6362175B1,Porphyrin compounds for imaging tissue oxygen ,The Trustees Of The University Of Pennsylvania,"Sergei Vinogradov, David F. Wilson",1991-09-20,1993-10-15,2002-03-26,2002-03-26,https://patents.google.com/patent/US6362175B1/en
US6387379B1,"Biofunctional surface modified ocular implants, surgical instruments, medical devices, prostheses, contact lenses and the like ",University Of Florida,"Eugene P. Goldberg, Ali Yahiaoui, Khalid Mentak, Theresa Rivero Erickson, James Seeger",1987-04-10,1994-02-28,2002-05-14,2002-05-14,https://patents.google.com/patent/US6387379B1/en
US6348213B1,Method for reversing age-related changes in heart muscle cells ,"Yissum Research And Development Co. Of The Hebrew University Of Jerusalem, Hadassah Medical Organization","Yechezkel Barenholz, Elishalom Yechiel",1986-02-24,1994-05-03,2002-02-19,2002-02-19,https://patents.google.com/patent/US6348213B1/en
US6355626B1,Antithrombin agents in treatment of asthma ,The Trustees Of The University Of Pennsylvania,"Reynold Panettieri, Richard Murray",1994-05-13,1994-05-13,2002-03-12,2002-03-12,https://patents.google.com/patent/US6355626B1/en
US6365787B1,Compounds for the suppression of HIV TAT transactivation ,The Johns Hopkins University,"Ru Chih C. Huang, John N. Gnabre",1994-09-30,1994-09-30,2002-04-02,2002-04-02,https://patents.google.com/patent/US6365787B1/en
US6387884B1,Leukocyte homing modulation ,"Stanford University, John L. Magnani","John L. Magnani, Eugene C. Butcher, Ellen L. Berg",1990-06-18,1994-11-09,2002-05-14,2002-05-14,https://patents.google.com/patent/US6387884B1/en
US6391857B1,Methods and compositions for endothelial binding ,"Stanford University, John L. Magnani","John L. Magnani, Eugene C. Butcher, Ellen L. Berg",1990-06-18,1994-11-09,2002-05-21,2002-05-21,https://patents.google.com/patent/US6391857B1/en
US6372502B1,Retroviral packaging cell lines and processes of using same ,The Trustees Of Columbia University In The City Of New York,"Arthur Bank, Dina G. Markowitz, Stephen P. Goff",1988-02-05,1994-11-17,2002-04-16,2002-04-16,https://patents.google.com/patent/US6372502B1/en
US6348449B1,Methods of inducing mucosal immunity ,The Trustees Of The University Of Pennsylvania,"David B. Weiner, Bin Wang, Kenneth E. Ugen",1993-09-21,1994-12-16,2002-02-19,2002-02-19,https://patents.google.com/patent/US6348449B1/en
US6372218B1,Interferon dosage form and method therefor ,The Texas A&M University System,Joseph M. Cummins,1986-11-06,1995-01-31,2002-04-16,2002-04-16,https://patents.google.com/patent/US6372218B1/en
US6352694B1,Methods for inducing a population of T cells to proliferate using agents which recognize TCR/CD3 and ligands which stimulate an accessory molecule on the surface of the T cells ,"Genetics Institute, Inc., The Regents Of The University Of Michigan","Carl H. June, Craig B. Thompson, Gary J. Nabel, Gary S. Gray, Paul D. Rennert",1994-06-03,1995-03-10,2002-03-05,2002-03-05,https://patents.google.com/patent/US6352694B1/en
US6374670B1,Non-invasive gut motility monitor ,University Of Washington,"Francis A. Spelman, Page Read, N. Mani Prakash, James A. Nelson, Charles E. Pope, Margaret Heitkemper, James D. Rothermel",1995-03-13,1995-03-13,2002-04-23,2002-04-23,https://patents.google.com/patent/US6374670B1/en
US6375690B1,Process for forming coal compacts and product thereof ,The Curators Of The University Of Missouri,"Brett Gunnink, Jayanth Kanunar, Zhuoxiong Liang",1995-03-17,1995-03-17,2002-04-23,2002-04-23,https://patents.google.com/patent/US6375690B1/en
