id,publication_year,B,C,D,E,F,G,H,num_applications,num_patent_citations,num_nonpatent_citations,num_claims,num_similar_doc,num_authors,payment_times
US6699658B1,2004,0,1,0,0,0,0,0,5,28,34,42,1,4,3
US6699724B1,2004,0,0,0,0,0,1,0,32,47,44,25,0,4,3
US6690816B2,2004,0,0,0,0,0,1,0,8,9,0,32,1,4,1
US6711436B1,2004,0,0,0,0,0,0,0,4,105,109,45,7,1,3
US6711432B1,2004,0,0,0,0,0,0,0,7,15,114,44,3,4,3
US6673917B1,2004,0,1,0,0,0,0,0,7,19,75,22,6,5,2
US6687266B1,2004,0,1,0,0,0,0,0,6,16,12,35,3,5,3
US6683783B1,2004,0,0,0,0,0,1,0,68,8,29,19,0,10,3
US6701174B1,2004,0,0,0,0,0,0,0,7,15,116,20,2,5,3
US6694163B1,2004,0,0,0,0,0,1,0,3,66,34,81,3,1,2
US6696220B2,2004,0,0,0,0,0,1,0,11,83,59,44,0,6,3
US6712916B2,2004,1,0,0,0,0,0,0,3,19,5,30,13,2,2
US6701176B1,2004,0,0,0,0,0,0,0,12,77,39,28,3,7,3
US6711293B1,2004,0,0,0,0,0,1,0,2,8,3,20,7,1,3
US6673596B1,2004,0,1,0,0,0,0,0,11,45,92,27,4,4,2
US6674430B1,2004,0,0,0,0,0,1,0,2,5,19,57,0,5,2
USPP14495P2,2004,0,0,0,0,0,0,0,1,8,22,1,8,3,0
US6675033B1,2004,0,0,0,0,0,1,0,2,133,14,73,2,8,3
US6692717B1,2004,0,1,0,0,0,0,0,14,5,35,105,0,4,3
US6685986B2,2004,0,0,0,0,0,1,0,37,34,19,23,0,3,3
US6699241B2,2004,0,0,0,0,0,0,0,8,7,0,10,10,3,1
US6727091B2,2004,0,0,0,0,1,0,0,6,8,6,17,13,1,3
US6689192B1,2004,1,0,0,0,0,0,0,2,15,22,19,14,3,3
US6682938B1,2004,0,1,0,0,0,0,0,8,54,28,24,2,6,3
US6677082B2,2004,0,1,0,0,0,0,0,15,9,33,16,3,4,3
US6695992B2,2004,0,0,1,0,0,0,0,7,16,7,19,13,1,3
US6709929B2,2004,0,0,0,0,0,0,1,15,9,39,22,3,4,2
US6703020B1,2004,0,1,0,0,0,0,0,12,68,89,49,3,2,3
US6713011B2,2004,0,0,1,0,0,0,0,2,20,2,50,1,3,3
US6691312B1,2004,0,0,0,0,0,0,1,7,3,10,14,0,4,3
US6680143B2,2004,0,0,0,0,0,0,1,17,7,22,18,3,4,3
US6699723B1,2004,1,0,0,0,0,0,0,10,15,28,27,5,4,3
US6685730B2,2004,0,0,0,0,0,0,0,17,59,34,64,15,4,3
US6675286B1,2004,0,0,0,0,0,1,0,2,8,4,12,14,4,3
US6673625B2,2004,0,1,0,0,0,0,0,10,55,32,8,2,6,3
US6689350B2,2004,0,0,0,0,0,0,0,3,38,62,20,6,1,2
US6690029B1,2004,0,0,0,0,0,0,1,4,5,5,8,0,3,3
US6692820B2,2004,0,0,0,0,0,0,1,15,15,16,20,4,3,3
US6709388B1,2004,0,0,0,0,0,0,0,4,10,1,16,9,3,0
US6713298B2,2004,0,0,0,0,0,1,0,50,149,64,31,1,4,3
US6686446B2,2004,0,1,0,0,0,0,0,5,0,3,21,5,7,3
US6675037B1,2004,0,0,0,0,0,0,0,9,10,0,12,0,1,1
US6696258B1,2004,0,1,0,0,0,0,0,2,10,27,22,4,4,2
US6687525B2,2004,0,0,0,0,0,0,0,4,9,1,37,1,3,3
