search URL:,https://patents.google.com/?assignee=university&country=US&language=ENGLISH&before=publication:20120501&after=publication:20120401&status=GRANT&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US8147668B2,Apparatus for manipulating droplets ,Duke University,"Michael G. Pollack, Vamsee K. Pamula, Richard B. Fair, Hong Ren",2002-09-24,2006-10-23,2012-04-03,2012-04-03,https://patents.google.com/patent/US8147668B2/en
US8164629B1,"Linear system based, qualitative independent motion detection from compressed mpeg surveillance video ",The Research Foundation Of State University Of New York,Zhongfei Zhang,2003-02-12,2009-09-29,2012-04-24,2012-04-24,https://patents.google.com/patent/US8164629B1/en
US8165666B1,System and method for reconstructing cardiac activation information ,"Topera, Inc., The Regents Of The University Of California","Carey Robert Briggs, Sanjiv Narayan",2011-05-02,2011-08-24,2012-04-24,2012-04-24,https://patents.google.com/patent/US8165666B1/en
US8153850B2,Integrated biofuel production system ,The Texas A&M University System,"Kenneth R. Hall, Mark T. Holtzapple, Sergio C. Capareda",2007-05-11,2008-11-10,2012-04-10,2012-04-10,https://patents.google.com/patent/US8153850B2/en
US8158728B2,Methods and materials for fabricating microfluidic devices ,The University Of North Carolina At Chapel Hill,"Joseph M. DeSimone, Jason P. Rolland, Ginger M. Denison Rothrock, Paul Resnick",2004-02-13,2006-08-09,2012-04-17,2012-04-17,https://patents.google.com/patent/US8158728B2/en
US8151116B2,Multi-channel user authentication apparatus system and method ,Brigham Young University,"Timothy van der Horst, Kent Seamons",2006-06-09,2007-06-09,2012-04-03,2012-04-03,https://patents.google.com/patent/US8151116B2/en
US8148276B2,Three-dimensionally reinforced multifunctional nanocomposites ,"University Of Hawaii, Rensselaer Polytechnic Institute","Mohammad Naghi Ghasemi Nejhad, Vinod P. Veedu, Anyuan Cao, Pulickel Ajayan, Davood Askari",2005-11-28,2006-09-19,2012-04-03,2012-04-03,https://patents.google.com/patent/US8148276B2/en
US8148340B2,Immunomodulatory oligonucleotides ,"The United States Of America As Represented By The Department Of Health And Human Services, University Of Iowa Research Foundation, Pfizer Inc.","Arthur M. Krieg, Dennis Klinman, Alfred D. Steinberg",1994-07-15,2004-07-09,2012-04-03,2012-04-03,https://patents.google.com/patent/US8148340B2/en
US8152837B2,Systems and methods for posterior dynamic stabilization of the spine ,The Board Of Trustees Of The Leland Stanford Junior University,"Moti Altarac, Shawn Tebbe, Daniel H. Kim, J. Christopher Flaherty",2004-10-20,2005-12-20,2012-04-10,2012-04-10,https://patents.google.com/patent/US8152837B2/en
US8158592B2,Immunostimulatory nucleic acid molecules ,"Coley Pharmaceutical Group, Inc., The United States Of America, As Represented By The Department Of Health And Human Services, University Of Iowa Research Foundation","Arthur M. Krieg, Joel Kline, Dennis Klinman, Alfred D. Steinberg",1994-07-15,2005-01-07,2012-04-17,2012-04-17,https://patents.google.com/patent/US8158592B2/en
